#======= TRAJECTORY BEGIN: 
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathweaver
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   1.54661,    1.78561,   -0.54737,    1.73490,   -1.12483,   -0.89708,   -0.39805,Segment:  23
   1.60797,    1.75203,   -0.66270,    1.80066,   -1.21116,   -0.94397,   -0.46923,Segment:  24
   1.66727,    1.71273,   -0.75767,    1.85878,   -1.29588,   -0.99647,   -0.55608,Segment:  25
   1.72447,    1.66939,   -0.79030,    1.90899,   -1.37855,   -1.05498,   -0.65658,Segment:  26
   1.77953,    1.62587,   -0.69731,    1.95125,   -1.45884,   -1.11934,   -0.76290,Segment:  27
   1.83243,    1.58898,   -0.39533,    1.98574,   -1.53656,   -1.18838,   -0.85757,Segment:  28
   1.88303,    1.56898,    0.22229,    2.01292,   -1.61168,   -1.25941,   -0.91077,Segment:  29
   1.93100,    1.57965,    1.31437,    2.03358,   -1.68432,   -1.32778,   -0.88224,Segment:  30
   1.97580,    1.63853,    2.30000,    2.04879,   -1.75478,   -1.38682,   -0.73140,Segment:  31
   2.01713,    1.73361,    2.30000,    2.05999,   -1.82358,   -1.42836,   -0.43410,Segment:  32
   2.05564,    1.82216,    2.30000,    2.06901,   -1.89143,   -1.44391,   -0.00000,Segment:  33
   2.09276,    1.90754,   -0.68482,    2.07763,   -1.96012,   -1.45006,   -0.16043,Segment:  34
   2.13226,    1.88049,    0.29591,    2.08612,   -2.03445,   -1.46463,   -0.21070,Segment:  35
   2.17729,    1.89382,    0.48422,    2.09438,   -2.11903,   -1.48177,   -0.18589,Segment:  36
   2.22908,    1.91889,    0.38368,    2.10233,   -2.21743,   -1.49783,   -0.14014,Segment:  37
   2.28867,    1.94176,    0.28174,    2.10989,   -2.33222,   -1.51145,   -0.09945,Segment:  38
   2.32166,    1.95105,    0.22262,    2.11351,   -2.39632,   -1.51729,   -0.08318,Segment:  39
   2.35687,    1.95889,    0.17412,    2.11701,   -2.46508,   -1.52253,   -0.06958,Segment:  40
   2.39437,    1.96542,    0.13562,    2.12038,   -2.53858,   -1.52722,   -0.05833,Segment:  41
   2.43418,    1.97082,    0.10562,    2.12362,   -2.61686,   -1.53141,   -0.04909,Segment:  42
   2.47630,    1.97527,    0.08248,    2.12674,   -2.69991,   -1.53516,   -0.04151,Segment:  43
   2.52072,    1.97893,    0.06471,    2.12971,   -2.78767,   -1.53852,   -0.03530,Segment:  44
   2.56739,    1.98195,    0.05107,    2.13255,   -2.88005,   -1.54154,   -0.03020,Segment:  45
   2.61625,    1.98444,    0.04058,    2.13525,   -2.97693,   -1.54426,   -0.02599,Segment:  46
   2.66724,    1.98651,    0.03249,    2.13781,   -3.07814,   -1.54670,   -0.02251,Segment:  47
   2.72026,    1.98824,    0.02620,    2.14023,   -3.18348,   -1.54892,   -0.01962,Segment:  48
   2.77520,    1.98968,    0.02130,    2.14251,   -3.29272,   -1.55092,   -0.01720,Segment:  49
   2.83193,    1.99088,    0.01744,    2.14465,   -3.40561,   -1.55275,   -0.01518,Segment:  50
   2.89032,    1.99190,    0.01439,    2.14665,   -3.52187,   -1.55441,   -0.01348,Segment:  51
   2.95022,    1.99277,    0.01197,    2.14851,   -3.64120,   -1.55593,   -0.01204,Segment:  52
   3.01147,    1.99350,    0.01002,    2.15024,   -3.76327,   -1.55732,   -0.01081,Segment:  53
   3.07390,    1.99412,    0.00844,    2.15184,   -3.88773,   -1.55860,   -0.00977,Segment:  54
   3.13734,    1.99466,    0.00745,    2.15330,   -4.01423,   -1.55978,   -0.00888,Segment:  55
   3.16937,    1.99490,    0.00687,    2.15399,   -4.07814,   -1.56033,   -0.00848,Segment:  56
   3.20159,    1.99512,    0.00635,    2.15464,   -4.14241,   -1.56087,   -0.00811,Segment:  57
   3.23396,    1.99532,    0.00587,    2.15527,   -4.20700,   -1.56138,   -0.00777,Segment:  58
   3.26647,    1.99552,    0.00544,    2.15586,   -4.27186,   -1.56187,   -0.00745,Segment:  59
   3.29908,    1.99569,    0.00504,    2.15643,   -4.33694,   -1.56235,   -0.00716,Segment:  60
   3.33178,    1.99586,    0.00468,    2.15696,   -4.40220,   -1.56281,   -0.00688,Segment:  61
   3.36454,    1.99601,    0.00435,    2.15747,   -4.46758,   -1.56325,   -0.00663,Segment:  62
   3.39733,    1.99615,    0.00404,    2.15795,   -4.53304,   -1.56367,   -0.00639,Segment:  63
   3.43013,    1.99629,    0.00376,    2.15840,   -4.59851,   -1.56409,   -0.00617,Segment:  64
   3.46292,    1.99641,    0.00351,    2.15883,   -4.66396,   -1.56448,   -0.00596,Segment:  65
   3.49566,    1.99652,    0.00327,    2.15923,   -4.72932,   -1.56487,   -0.00577,Segment:  66
   3.52833,    1.99663,    0.00305,    2.15961,   -4.79456,   -1.56524,   -0.00559,Segment:  67
   3.56092,    1.99673,    0.00284,    2.15996,   -4.85962,   -1.56559,   -0.00543,Segment:  68
   3.59338,    1.99682,    0.00265,    2.16028,   -4.92444,   -1.56594,   -0.00528,Segment:  69
   3.62571,    1.99691,    0.00247,    2.16058,   -4.98899,   -1.56628,   -0.00513,Segment:  70
   3.65786,    1.99699,    0.00230,    2.16086,   -5.05320,   -1.56660,   -0.00500,Segment:  71
   3.68983,    1.99706,    0.00214,    2.16112,   -5.11704,   -1.56692,   -0.00488,Segment:  72
   3.72158,    1.99713,    0.00192,    2.16136,   -5.18044,   -1.56722,   -0.00477,Segment:  73
   3.78433,    1.99725,    0.00164,    2.16177,   -5.30578,   -1.56781,   -0.00457,Segment:  74
   3.84594,    1.99735,    0.00139,    2.16210,   -5.42882,   -1.56836,   -0.00440,Segment:  75
   3.90621,    1.99743,    0.00114,    2.16236,   -5.54922,   -1.56888,   -0.00426,Segment:  76
   3.96499,    1.99750,    0.00090,    2.16256,   -5.66661,   -1.56937,   -0.00415,Segment:  77
   4.02208,    1.99755,    0.00065,    2.16270,   -5.78067,   -1.56984,   -0.00406,Segment:  78
   4.07736,    1.99759,    0.00038,    2.16278,   -5.89107,   -1.57029,   -0.00400,Segment:  79
   4.13065,    1.99761,    0.00009,    2.16281,   -5.99754,   -1.57071,   -0.00397,Segment:  80
   4.18184,    1.99761,   -0.00024,    2.16280,   -6.09979,   -1.57112,   -0.00396,Segment:  81
   4.23080,    1.99760,   -0.00063,    2.16275,   -6.19760,   -1.57150,   -0.00398,Segment:  82
   4.27743,    1.99757,   -2.10779,    2.16266,   -6.29074,   -1.57188,   -0.00403,Segment:  83
   4.32272,    1.90212,   -2.30000,    2.16255,   -6.37904,   -1.57224,   -0.00411,Segment:  84
   4.36774,    1.79856,   -2.30000,    2.16242,   -6.46236,   -1.57258,   -0.00423,Segment:  85
   4.41251,    1.69559,   -2.30000,    2.16226,   -6.54057,   -1.57292,   -0.00439,Segment:  86
   4.45693,    1.59343,   -2.30000,    2.16210,   -6.61361,   -1.57325,   -0.00460,Segment:  87
   4.50090,    1.49230,   -2.30000,    2.16192,   -6.68146,   -1.57357,   -0.00486,Segment:  88
   4.54434,    1.39238,   -2.30000,    2.16174,   -6.74411,   -1.57388,   -0.00520,Segment:  89
   4.62933,    1.19691,   -2.30000,    2.16136,   -6.85414,   -1.57450,   -0.00612,Segment:  90
   4.71153,    1.00784,   -2.30000,    2.16100,   -6.94476,   -1.57511,   -0.00745,Segment:  91
   4.79135,    0.82425,   -2.30000,    2.16067,   -7.01788,   -1.57571,   -0.00906,Segment:  92
   4.87114,    0.64073,   -2.30000,    2.16036,   -7.07633,   -1.57627,   -0.00993,Segment:  93
   5.14972,    0.00000,   -2.30000,    2.15984,   -7.16557,   -1.57687,   -0.00000,Segment:  94
#======= TRAJECTORY END: 
