#======= TRAJECTORY BEGIN: 
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathweaver
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    2.30000,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.28375,    0.65262,    2.30000,    0.09256,   -0.00231,   -0.06913,   -1.24142,Segment:  2
   0.35290,    0.81168,    2.30000,    0.14293,   -0.00746,   -0.13561,   -1.33399,Segment:  3
   0.41567,    0.95603,    2.30000,    0.19759,   -0.01694,   -0.20682,   -1.21171,Segment:  4
   0.47566,    1.09401,    2.30000,    0.25729,   -0.03168,   -0.27515,   -1.00910,Segment:  5
   0.53454,    1.22943,    2.30000,    0.32248,   -0.05237,   -0.33702,   -0.80707,Segment:  6
   0.59306,    1.36405,    2.30000,    0.39337,   -0.07948,   -0.39151,   -0.63809,Segment:  7
   0.65151,    1.49848,    2.30000,    0.46988,   -0.11330,   -0.43910,   -0.50787,Segment:  8
   0.70988,    1.63273,    2.30000,    0.55174,   -0.15393,   -0.48082,   -0.41156,Segment:  9
   0.76803,    1.76647,    1.21571,    0.63848,   -0.20130,   -0.51783,   -0.34197,Segment:  10
   0.82670,    1.83780,    0.28980,    0.72944,   -0.25521,   -0.55120,   -0.29260,Segment:  11
   0.88731,    1.85537,    0.18672,    0.82385,   -0.31530,   -0.58190,   -0.25845,Segment:  12
   0.95028,    1.86712,    0.10768,    0.92081,   -0.38114,   -0.61076,   -0.23595,Segment:  13
   1.01520,    1.87411,    0.04377,    1.01931,   -0.45218,   -0.63852,   -0.22270,Segment:  14
   1.08162,    1.87702,   -0.01188,    1.11831,   -0.52779,   -0.66585,   -0.21722,Segment:  15
   1.14903,    1.87622,   -0.05148,    1.21672,   -0.60730,   -0.69335,   -0.21873,Segment:  16
   1.18295,    1.87447,   -0.07798,    1.26535,   -0.64829,   -0.70736,   -0.22202,Segment:  17
   1.21691,    1.87183,   -0.11947,    1.31341,   -0.68997,   -0.72163,   -0.22702,Segment:  18
   1.28476,    1.86372,   -0.18030,    1.40730,   -0.77507,   -0.75130,   -0.24243,Segment:  19
   1.35207,    1.85158,   -0.25119,    1.49734,   -0.86184,   -0.78298,   -0.26575,Segment:  20
   1.41839,    1.83492,   -0.33551,    1.58253,   -0.94952,   -0.81735,   -0.29826,Segment:  21
   1.48335,    1.81313,   -0.43496,    1.66198,   -1.03741,   -0.85513,   -0.34170,Segment:  22
