#======= TRAJECTORY BEGIN: 
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathweaver
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    2.30000,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.33172,    0.76296,    2.30000,    0.12654,    0.00087,    0.01961,    0.27578,Segment:  2
   0.40869,    0.93999,    2.30000,    0.19205,    0.00280,    0.04001,    0.33869,Segment:  3
   0.47549,    1.09362,    2.30000,    0.25988,    0.00632,    0.06397,    0.36068,Segment:  4
   0.53628,    1.23343,    2.30000,    0.33040,    0.01174,    0.08938,    0.35449,Segment:  5
   0.59309,    1.36412,    2.30000,    0.40381,    0.01927,    0.11477,    0.33175,Segment:  6
   0.64706,    1.48823,    2.30000,    0.48015,    0.02903,    0.13915,    0.30119,Segment:  7
   0.69879,    1.60722,    2.30000,    0.55931,    0.04106,    0.16195,    0.26847,Segment:  8
   0.74865,    1.72189,    2.30000,    0.64107,    0.05532,    0.18289,    0.23685,Segment:  9
   0.79680,    1.83265,    1.34045,    0.72507,    0.07170,    0.20190,    0.20795,Segment:  10
   0.84387,    1.89574,    0.25901,    0.81087,    0.09004,    0.21899,    0.18233,Segment:  11
   0.89087,    1.90791,    0.22558,    0.89797,    0.11014,    0.23427,    0.16002,Segment:  12
   0.93812,    1.91857,    0.19773,    0.98576,    0.13174,    0.24784,    0.14071,Segment:  13
   0.98532,    1.92790,    0.17597,    1.07361,    0.15454,    0.25984,    0.12398,Segment:  14
   1.03212,    1.93614,    0.16059,    1.16087,    0.17824,    0.27037,    0.10935,Segment:  15
   1.07817,    1.94353,    0.15211,    1.24684,    0.20250,    0.27955,    0.09632,Segment:  16
   1.12311,    1.95037,    0.15172,    1.33085,    0.22699,    0.28745,    0.08436,Segment:  17
   1.16659,    1.95697,    0.16185,    1.41222,    0.25135,    0.29413,    0.07290,Segment:  18
   1.20825,    1.96371,    0.18717,    1.49032,    0.27525,    0.29962,    0.06127,Segment:  19
   1.24777,    1.97111,    0.23635,    1.56456,    0.29836,    0.30390,    0.04860,Segment:  20
   1.28485,    1.97987,    0.32550,    1.63442,    0.32039,    0.30694,    0.03371,Segment:  21
   1.31922,    1.99106,   -1.62237,    1.69944,    0.34107,    0.30864,    0.01489,Segment:  22
   1.38100,    1.89083,   -2.30000,    1.81369,    0.37749,    0.30730,   -0.04609,Segment:  23
   1.43381,    1.76936,   -2.30000,    1.90592,    0.40637,    0.29769,   -0.17410,Segment:  24
   1.47694,    1.67016,   -2.30000,    1.97703,    0.42749,    0.27663,   -0.43023,Segment:  25
   1.53950,    1.52628,   -2.30000,    2.07393,    0.45210,    0.22442,   -0.00000,Segment:  26
   1.56859,    1.45936,    2.30000,    2.11640,    0.46124,    0.19041,   -1.22823,Segment:  27
   1.60153,    1.53511,    2.30000,    2.16508,    0.46912,    0.13343,   -0.94965,Segment:  28
   1.63886,    1.62097,    2.30000,    2.22362,    0.47569,    0.09574,   -0.35921,Segment:  29
   1.68075,    1.71731,    1.35045,    2.29325,    0.48191,    0.08754,    0.08496,Segment:  30
   1.72670,    1.77937,   -2.30000,    2.37323,    0.48958,    0.10791,    0.40202,Segment:  31
   1.77829,    1.66071,   -1.97402,    2.46122,    0.50108,    0.15600,    0.67736,Segment:  32
   1.83713,    1.54457,   -1.88563,    2.55377,    0.51912,    0.23374,    0.97757,Segment:  33
   1.86902,    1.48444,   -1.84193,    2.60046,    0.53147,    0.28509,    1.15147,Segment:  34
   1.90246,    1.42284,   -1.76058,    2.64668,    0.54651,    0.34570,    1.34484,Segment:  35
   1.93742,    1.36129,   -1.60880,    2.69188,    0.56457,    0.41623,    1.55557,Segment:  36
   1.97388,    1.30263,   -1.43709,    2.73549,    0.58595,    0.49712,    1.77492,Segment:  37
   1.99268,    1.27561,   -1.28883,    2.75653,    0.59797,    0.54145,    1.88271,Segment:  38
   2.01184,    1.25092,   -1.11481,    2.77697,    0.61092,    0.58827,    1.98532,Segment:  39
   2.03134,    1.22918,   -0.91626,    2.79676,    0.62483,    0.63745,    2.07908,Segment:  40
   2.05117,    1.21101,   -0.69550,    2.81583,    0.63972,    0.68877,    2.16003,Segment:  41
   2.07131,    1.19700,   -0.45588,    2.83413,    0.65562,    0.74196,    2.22409,Segment:  42
   2.09171,    1.18770,   -0.20158,    2.85161,    0.67254,    0.79665,    2.26747,Segment:  43
   2.11235,    1.18354,    0.06253,    2.86822,    0.69050,    0.85242,    2.28709,Segment:  44
   2.13317,    1.18484,    0.33110,    2.88392,    0.70952,    0.90879,    2.28093,Segment:  45
   2.15413,    1.19178,    0.59845,    2.89867,    0.72959,    0.96526,    2.24834,Segment:  46
   2.17518,    1.20438,    0.85876,    2.91243,    0.75072,    1.02129,    2.19014,Segment:  47
   2.19628,    1.22250,    1.10637,    2.92519,    0.77291,    1.07637,    2.10855,Segment:  48
   2.21738,    1.24584,    1.33606,    2.93693,    0.79616,    1.12999,    2.00692,Segment:  49
   2.23844,    1.27399,    1.54346,    2.94762,    0.82045,    1.18173,    1.88934,Segment:  50
   2.25944,    1.30640,    1.72545,    2.95727,    0.84577,    1.23119,    1.76021,Segment:  51
   2.28035,    1.34248,   -0.37231,    2.96587,    0.87209,    1.27805,    1.62381,Segment:  52
   2.30152,    1.33460,   -2.30000,    2.97344,    0.89940,    1.32208,    1.48397,Segment:  53
   2.34727,    1.22936,   -2.30000,    2.98555,    0.95679,    1.40089,    1.20593,Segment:  54
   2.39979,    1.10857,   -2.30000,    2.99385,    1.01762,    1.46669,    0.94235,Segment:  55
   2.46147,    0.96671,   -2.30000,    2.99875,    1.08143,    1.51903,    0.69802,Segment:  56
   2.53676,    0.79354,   -2.30000,    3.00082,    1.14766,    1.55759,    0.46863,Segment:  57
   2.63697,    0.56305,   -2.30000,    3.00081,    1.21564,    1.58176,    0.24244,Segment:  58
   2.88178,    0.00000,   -2.30000,    2.99966,    1.28454,    1.59027,    0.00000,Segment:  59
#======= TRAJECTORY END: 
